Fornecedor,ContaContabil,UniMedida,QtdReceber,QtdComprada,ValorReceber,ValorComprado,Recuperadas
17,0,6,0,72000,0.0,34560.0,1
2,3,3,12,2700,14.76,3321.0,1
2,3,3,0,3510,0.0,4527.9,0
2,1,16,0,180,0.0,7194.6,0
2,1,0,0,1820,0.0,5241.6,0
27,1,1,12,12,76469.04,76469.04,1
27,1,1,36,36,229407.12,229407.12,0
4,1,3,0,2100,0.0,562422.0,0
59,3,5,0,18900,0.0,15120.0,1
37,1,5,0,720,0.0,50940.0,1
6,7,1,0,120,0.0,168786.0,0
60,1,3,0,540,0.0,1042.2,1
13,1,1,0,32,0.0,58159.36,0
23,1,5,540,540,132775.2,132775.2,0
53,1,0,0,10380,0.0,187359.0,1
53,1,5,0,190,0.0,2044.4,0
4,1,3,0,168,0.0,285.609999696,0
0,1,1,0,150,0.0,155548.5,0
0,1,1,0,18,0.0,168172.2,0
0,1,3,0,2340,0.0,322732.8,1
4,1,1,0,72,0.0,115763.04,0
10,0,6,0,268800,0.0,134400.0,1
4,1,5,0,720,0.0,149443.2,0
22,1,3,28,196,51.8,362.6,1
58,1,1,0,6200,0.0,71300.0,0
17,0,2,0,270000,0.0,5400.0,1
53,1,4,0,120,0.0,974.4,1
53,1,3,0,60,0.0,11163.0,0
53,1,0,0,120,0.0,58989.6,1
53,0,6,0,6400,0.0,6144.0,0
54,1,5,0,120,0.0,46.8,0
2,1,3,0,1200,0.0,324.0,1
1,0,2,0,12000,0.0,1320.0,0
1,0,2,0,17400,0.0,1914.0,1
14,1,3,0,6,0.0,12.36,0
0,1,3,0,360,0.0,49651.2,0
32,1,4,0,320,0.0,797100.8,1
53,1,4,0,90,0.0,913.5,0
53,1,16,0,2,0.0,250.32,1
53,1,3,0,84,0.0,159.6,0
53,3,3,0,459,0.0,683.91,1
53,3,3,0,60,0.0,440.4,1
53,3,8,0,30,0.0,562.5,0
53,1,5,0,224,0.0,27144.32,1
53,3,0,0,30,0.0,211.8,0
53,3,5,0,56,0.0,408.24,0
53,3,3,0,180,0.0,82.8,0
14,1,16,0,110,0.0,9356.6,1
14,1,4,0,24,0.0,24264.72,0
4,1,3,0,2700,0.0,284202.0,1
13,1,3,600,600,864.0,864.0,1
1,1,1,24,24,229534.08,229534.08,1
1,1,1,0,72,0.0,688602.24,1
61,0,2,0,2050000,0.0,41000.0,0
54,1,1,0,10,0.0,170.6,0
54,1,22,0,7,0.0,210.14,1
54,1,5,0,270,0.0,264.6,0
54,1,3,0,20,0.0,92.0,0
54,1,3,0,140,0.0,22552.6,0
54,1,5,0,700,0.0,273.0,0
